Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Bogdan Bogdanovic,SG,31,ATL,79,33,30.4,0.428,0.374,0.503,0.921,3.4,3.1,1.2,0.3,1.4,2.3,16.9
Bojan Bogdanovic,SF-PF,34,TOT,57,27,25.9,0.454,0.398,0.507,0.785,2.7,1.7,0.5,0.1,1.8,1.7,15.2
Bojan Bogdanovic,PF,34,DET,28,27,32.9,0.468,0.415,0.518,0.779,3.4,2.5,0.8,0.1,2.3,2,20.2
Bojan Bogdanovic,SF,34,NYK,29,0,19.2,0.43,0.37,0.488,0.8,2,0.9,0.2,0,1.3,1.3,10.4
Bol Bol,PF,24,PHO,43,0,10.9,0.616,0.423,0.717,0.789,3.2,0.4,0.2,0.6,0.4,1,5.2
Marques Bolden,C,25,TOT,11,2,11,0.68,0,0.708,0.75,3.1,0.4,0.3,0.6,0.3,0.9,3.4
Marques Bolden,C,25,MIL,2,0,1.5,0,0,0,0,1,0,0,0,0,0.5,0
Marques Bolden,C,25,CHO,9,2,13.1,0.68,0,0.708,0.75,3.6,0.4,0.3,0.8,0.3,1,4.1
Devin Booker,PG,27,PHO,68,68,36,0.492,0.364,0.552,0.886,4.5,6.9,0.9,0.4,2.6,3,27.1
Brandon Boston Jr.,SF,22,LAC,32,0,10.8,0.404,0.269,0.468,0.697,1.6,0.4,0.3,0.3,0.8,1.3,5.2
Chris Boucher,PF,31,TOR,50,0,14.1,0.507,0.33,0.642,0.772,4.1,0.5,0.3,0.5,0.6,1.4,6.4
James Bouknight,SG,23,CHO,14,0,5.8,0.439,0.433,0.455,0.5,0.6,0.4,0.1,0.1,0.1,0.2,3.6
Jamaree Bouyea,PG,24,TOT,9,0,10.6,0.357,0.111,0.474,0,2.1,1.2,0.1,0,1,1.1,2.3
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.238,0,0.385,0,1.7,1.3,0,0,1.3,0.5,1.7
Jamaree Bouyea,PG,24,SAS,3,0,12.7,0.714,1,0.667,0,3,1,0.3,0,0.3,2.3,3.7
Malaki Branham,PG,20,SAS,75,29,21.3,0.432,0.347,0.494,0.873,2,2.1,0.4,0.1,1.2,1.3,9.2
Christian Braun,SG,22,DEN,82,4,20.2,0.46,0.384,0.498,0.694,3.7,1.6,0.5,0.4,0.7,1.7,7.3
Mikal Bridges,SF,27,BRK,82,82,34.8,0.436,0.372,0.49,0.814,4.5,3.6,1,0.4,2,1.4,19.6
Miles Bridges,SF,25,CHO,69,67,37.4,0.462,0.349,0.529,0.825,7.3,3.3,0.9,0.5,2,1.7,21
Oshae Brissett,SF,25,BOS,55,1,11.5,0.444,0.273,0.541,0.602,2.9,0.8,0.3,0.1,0.4,1,3.7
Izaiah Brockington,PG,24,NOP,1,0,3,0.4,0,0.5,0,2,0,0,0,0,0,4
Malcolm Brogdon,PG,31,POR,39,25,28.7,0.44,0.412,0.458,0.819,3.8,5.5,0.7,0.2,1.5,1.5,15.7
Armoni Brooks,PG,25,BRK,10,0,10.4,0.326,0.344,0.286,0.5,1.8,0.5,0.1,0.1,0.3,0.3,4.2
Dillon Brooks,SF,28,HOU,72,72,30.9,0.428,0.359,0.492,0.844,3.4,1.7,0.9,0.1,1.2,3.3,12.7
Bruce Brown,PG-SG,27,TOT,67,44,27.9,0.478,0.323,0.538,0.824,4.2,2.9,0.9,0.3,1.3,2.2,10.8
Bruce Brown,SG,27,IND,33,33,29.7,0.475,0.327,0.545,0.817,4.7,3,1.1,0.2,1.2,2.5,12.1
Bruce Brown,PG,27,TOR,34,11,26,0.481,0.317,0.532,0.833,3.8,2.7,0.7,0.3,1.3,2,9.6
Charlie Brown Jr.,SG,26,NYK,8,0,4.6,0.2,0.286,0,0,0.3,0,0,0.3,0.3,0.6,0.8
Greg Brown III,PF,22,DAL,6,0,6.7,0.455,0.333,0.5,0.444,1.5,0.7,0,0.7,0.7,0.8,2.5
Jaylen Brown,SF,27,BOS,70,70,33.5,0.499,0.354,0.57,0.703,5.5,3.6,1.2,0.5,2.4,2.6,23
Kendall Brown,SG,20,IND,15,0,4.2,0.533,0,0.615,0.625,0.3,0.3,0,0,0.1,0.6,1.4
Kobe Brown,PF,24,LAC,44,0,9,0.411,0.292,0.548,0.5,1.4,0.6,0.3,0.1,0.2,1.1,2
Moses Brown,C,24,POR,22,5,9.1,0.508,0,0.508,0.29,3.9,0.3,0.2,0.3,0.5,1.2,3.4
Troy Brown Jr.,SF,24,TOT,59,15,14,0.372,0.333,0.435,0.865,2.4,1,0.4,0.1,0.5,0.7,4.2
Troy Brown Jr.,SF,24,MIN,37,3,11.1,0.441,0.369,0.618,0.864,1.9,0.9,0.2,0.1,0.5,0.7,4.2
Troy Brown Jr.,SF,24,DET,22,12,19,0.296,0.281,0.314,0.867,3.3,1.1,0.7,0,0.5,0.7,4.2
Jalen Brunson,PG,27,NYK,77,77,35.4,0.479,0.401,0.516,0.847,3.6,6.7,0.9,0.2,2.4,1.9,28.7
Thomas Bryant,C,26,MIA,38,4,11.6,0.577,0.182,0.646,0.872,3.7,0.6,0.3,0.4,0.6,1.2,5.7
Kobe Bufkin,SG,20,ATL,17,0,11.5,0.37,0.225,0.481,0.5,1.9,1.6,0.4,0.3,0.6,1.2,4.8
Reggie Bullock,SF,32,HOU,44,0,9.5,0.415,0.403,0.467,1,1.7,0.3,0.3,0.1,0.2,0.7,2.2
