Player,Pos,Age,Tm,G,GS,MP,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.424,0.348,0.6,1,1.9,0.5,0.3,0.3,0.1,1.3,2.6
Bobby Portis,PF,28,MIL,82,4,24.5,0.508,0.407,0.545,0.79,7.4,1.3,0.8,0.4,1.1,2.3,13.8
Kristaps Porzingis,C,28,BOS,57,57,29.6,0.516,0.375,0.606,0.858,7.2,2,0.7,1.9,1.6,2.7,20.1
Micah Potter,PF,25,UTA,16,0,11.6,0.475,0.429,0.526,0.75,2.7,0.4,0.3,0.4,0.3,0.9,3.3
Dwight Powell,C,32,DAL,63,9,13.3,0.679,0.333,0.689,0.708,3.4,1.3,0.4,0.3,0.5,1.8,3.3
Norman Powell,SG,30,LAC,76,3,26.2,0.486,0.435,0.536,0.831,2.6,1.1,0.6,0.3,0.9,1.8,13.9
Jason Preston,PG,24,UTA,7,0,10.1,0.316,0,0.375,0,2.4,2.3,0.3,0.1,0.3,0.4,1.7
Joshua Primo,SG,21,LAC,2,0,5,0.333,0,0.5,0,0.5,0,0,0.5,2,0,1
Taurean Prince,PF,29,LAL,78,49,27,0.442,0.396,0.519,0.735,2.9,1.5,0.7,0.4,0.9,1.9,8.9
Payton Pritchard,PG,26,BOS,82,5,22.3,0.468,0.385,0.593,0.821,3.2,3.4,0.5,0.1,0.7,1.3,9.6
Olivier-Maxence Prosper,PF,21,DAL,40,1,8.4,0.385,0.289,0.458,0.683,2,0.6,0.2,0.1,0.2,0.5,3
Trevelin Queen,SG,26,ORL,14,0,11.8,0.368,0.176,0.524,0.75,1.4,1.3,0.5,0.4,0.5,1.1,2.9
Neemias Queta,C,24,BOS,28,0,11.9,0.644,0,0.644,0.714,4.4,0.7,0.5,0.8,0.5,1.8,5.5
Immanuel Quickley,PG-SG,24,TOT,68,38,29.2,0.434,0.395,0.471,0.853,3.8,4.9,0.7,0.1,1.5,1.8,17
Immanuel Quickley,SG,24,NYK,30,0,24,0.454,0.395,0.509,0.872,2.6,2.5,0.5,0.1,1,1.5,15
Immanuel Quickley,PG,24,TOR,38,38,33.3,0.422,0.395,0.448,0.841,4.8,6.8,0.9,0.2,1.8,2,18.6
Lester Quinones,SG,23,GSW,37,0,10.6,0.397,0.364,0.453,0.69,1.9,1,0.2,0.1,0.5,1.2,4.4
Jahmi'us Ramsey,SG,22,TOR,7,1,17.3,0.439,0.273,0.632,0.833,3.1,1.1,1,0,1,1.4,6.7
Julius Randle,PF,29,NYK,46,46,35.4,0.472,0.311,0.539,0.781,9.2,5,0.5,0.3,3.5,2.7,24
Duop Reath,C,27,POR,68,20,17.9,0.461,0.359,0.559,0.742,3.7,1,0.5,0.6,0.8,2.4,9.1
Austin Reaves,SG,25,LAL,82,57,32.1,0.486,0.367,0.583,0.853,4.3,5.5,0.8,0.3,2.1,1.9,15.9
Cam Reddish,SF,24,LAL,48,26,20.5,0.389,0.336,0.435,0.759,2.1,1,1,0.3,0.6,1.3,5.4
Paul Reed,C,24,PHI,82,24,19.4,0.54,0.368,0.563,0.718,6,1.3,0.8,1,0.8,2.4,7.3
Naz Reid,C,24,MIN,81,14,24.2,0.477,0.414,0.535,0.736,5.2,1.3,0.8,0.9,1.4,2.1,13.5
Jared Rhoden,SG,24,DET,17,0,14.4,0.5,0.387,0.6,0.625,1.9,0.8,0.2,0.8,0.4,1.6,4.9
Nick Richards,C,26,CHO,67,51,26.3,0.691,0,0.693,0.737,8,0.8,0.4,1.1,1.1,2.6,9.7
Josh Richardson,SG,30,MIA,43,6,25.7,0.444,0.347,0.561,0.944,2.8,2.4,0.6,0.3,0.8,1.8,9.9
Duncan Robinson,SF,29,MIA,68,36,28,0.45,0.395,0.579,0.889,2.5,2.8,0.7,0.2,1.4,2.4,12.9
Jerome Robinson,SG,26,GSW,22,0,3.7,0.333,0.118,0.563,0.636,0.3,0.2,0,0.1,0.1,0.2,1.4
Mitchell Robinson,C,25,NYK,31,21,24.8,0.575,0,0.575,0.409,8.5,0.6,1.2,1.1,0.8,1.8,5.6
Orlando Robinson,C,23,MIA,36,7,8.4,0.5,0.533,0.491,0.76,2.3,0.9,0.2,0.2,0.5,1,2.8
Jeremiah Robinson-Earl,PF,23,NOP,39,1,8.6,0.474,0.333,0.571,0.75,1.9,0.5,0.3,0.1,0.4,0.6,2.9
David Roddy,PF,22,TOT,65,13,18.1,0.403,0.293,0.478,0.691,3.2,1.2,0.4,0.2,0.9,1.1,6.5
David Roddy,PF,22,MEM,48,13,23.2,0.402,0.301,0.47,0.687,4.2,1.6,0.5,0.2,1.1,1.4,8.4
David Roddy,PF,22,PHO,17,0,3.7,0.435,0.125,0.6,1,0.6,0.2,0.1,0,0.2,0.2,1.3
Ryan Rollins,PG,21,TOT,13,0,6,0.519,0.75,0.478,0.765,1,1.1,0.8,0.2,0.6,0.6,3.4
Ryan Rollins,PG,21,WAS,10,0,6.6,0.52,0.667,0.5,0.765,1.1,1.1,0.8,0.3,0.7,0.7,4.1
Ryan Rollins,PG,21,MIL,3,0,4,0.5,1,0,0,0.7,1,0.7,0,0.3,0.3,1
Derrick Rose,PG,35,MEM,24,7,16.6,0.461,0.366,0.492,0.889,1.9,3.3,0.3,0.1,1.3,0.9,8
Terry Rozier,PG-SG,29,TOT,61,60,33.4,0.443,0.363,0.498,0.869,4,5.6,1,0.3,1.7,1.7,19.8
Terry Rozier,SG,29,CHO,30,30,35.5,0.459,0.358,0.533,0.845,3.9,6.6,1.1,0.4,2.2,1.7,23.2
Terry Rozier,PG,29,MIA,31,30,31.5,0.423,0.371,0.458,0.913,4.2,4.6,1,0.3,1.3,1.6,16.4
Rayan Rupert,SG,19,POR,39,12,16.2,0.335,0.359,0.313,0.76,2.4,1.6,0.3,0.1,0.8,1.4,4
D'Angelo Russell,PG,27,LAL,76,69,32.7,0.456,0.415,0.497,0.828,3.1,6.3,0.9,0.5,2.1,2.1,18
Matt Ryan,SF,26,NOP,28,1,13.9,0.434,0.451,0.364,0.929,1.4,0.6,0.2,0,0.7,1.1,5.4
Domantas Sabonis,C,27,SAC,82,82,35.7,0.594,0.379,0.613,0.704,13.7,8.2,0.9,0.6,3.3,3,19.4
Jermaine Samuels,SF,25,HOU,14,0,4.3,0.643,0,0.75,1,0.9,0.2,0.1,0.1,0,0.4,1.4
Adama Sanogo,PF,21,CHI,9,0,7.3,0.519,0,0.519,0.667,4,0,0.1,0,0.6,0.6,4
Gui Santos,PF,21,GSW,23,0,8.3,0.509,0.37,0.643,0.941,2.1,0.6,0.2,0.1,0.3,1,3.6
Dario Saric,C,29,GSW,64,9,17.2,0.466,0.376,0.56,0.849,4.4,2.3,0.5,0.2,1.2,1.8,8
Olivier Sarr,C,24,OKC,15,0,6.5,0.579,0.333,0.692,0.667,2.4,0.1,0,0.5,0.2,1.2,2.3
Marcus Sasser,PG,23,DET,71,11,19,0.428,0.375,0.474,0.879,1.8,3.3,0.6,0.2,1.3,1.5,8.3
Admiral Schofield,PF,26,ORL,23,0,3.7,0.385,0.375,0.4,0,0.7,0.3,0,0,0.2,0.4,1.1
Dennis Schröder,PG,30,TOT,80,58,31.1,0.435,0.375,0.474,0.836,3,6.1,0.8,0.2,1.9,2.1,14
Dennis Schröder,PG,30,TOR,51,33,30.6,0.442,0.35,0.501,0.852,2.7,6.1,0.9,0.2,1.6,2.1,13.7
Dennis Schröder,PG,30,BRK,29,25,32,0.424,0.412,0.432,0.797,3.5,6,0.6,0.3,2.4,2,14.6
Dereon Seabron,SG,23,NOP,6,0,9.2,0.308,0.5,0.273,0.833,1.2,0.8,0.3,0.2,0,0.7,2.3
Alperen Sengun,C,21,HOU,63,63,32.5,0.537,0.297,0.567,0.693,9.3,5,1.2,0.7,2.6,3.3,21.1
Brice Sensabaugh,SF,20,UTA,32,11,18.3,0.39,0.296,0.495,0.902,3.2,1.7,0.4,0.2,1.5,1.3,7.5
Collin Sexton,SG,25,UTA,78,51,26.6,0.487,0.394,0.53,0.859,2.6,4.9,0.8,0.2,2.1,2,18.7
Landry Shamet,SG,26,WAS,46,5,15.8,0.431,0.338,0.556,0.826,1.3,1.2,0.5,0.2,0.7,1.7,7.1
Day'Ron Sharpe,C,22,BRK,61,1,15.1,0.571,0.267,0.588,0.61,6.4,1.4,0.4,0.7,1.1,2.1,6.8
Shaedon Sharpe,SG,20,POR,32,25,33.1,0.406,0.333,0.457,0.824,5,2.9,0.9,0.4,2.3,2.8,15.9
Ben Sheppard,SG,22,IND,57,1,14.3,0.393,0.314,0.562,0.885,1.6,0.9,0.6,0,0.3,1.5,4.4
Pascal Siakam,PF,29,TOT,80,80,33.2,0.536,0.346,0.581,0.732,7.1,4.3,0.8,0.3,1.8,2.4,21.7
Pascal Siakam,PF,29,TOR,39,39,34.7,0.522,0.317,0.584,0.758,6.3,4.9,0.8,0.3,2.1,2.2,22.2
Pascal Siakam,PF,29,IND,41,41,31.8,0.549,0.386,0.58,0.699,7.8,3.7,0.8,0.4,1.4,2.6,21.3
Ben Simmons,PG,27,BRK,15,12,23.9,0.581,0,0.581,0.4,7.9,5.7,0.8,0.6,1.8,2.4,6.1
Kobi Simmons,PG,26,TOR,4,0,16.8,0.429,0.25,0.538,0,1.8,3,1.5,0.5,0.3,1.3,5
Anfernee Simons,SG,24,POR,46,46,34.4,0.43,0.385,0.472,0.916,3.6,5.5,0.5,0.1,2.7,2.1,22.6
Zavier Simpson,PG,26,MEM,7,0,23,0.315,0.294,0.324,0.75,2.9,3.6,1,0.4,1.4,1.6,6
Jericho Sims,C,25,NYK,45,11,13,0.691,0,0.691,0.667,3.3,0.6,0.2,0.4,0.4,1,2
Dmytro Skapintsev,C,25,NYK,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Jalen Slawson,SF,24,SAC,12,0,3.1,0.667,0,1,0,0.6,0.2,0.1,0.1,0.2,0.7,0.7
Javonte Smart,PG,24,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,PG,29,MEM,20,20,30.3,0.43,0.313,0.583,0.768,2.7,4.3,2.1,0.3,3.1,2.7,14.5
Dennis Smith Jr.,PG,26,BRK,56,2,18.9,0.435,0.294,0.502,0.741,2.9,3.6,1.2,0.2,1.2,2.2,6.6
Dru Smith,SG,26,MIA,9,0,14.6,0.455,0.412,0.5,1,1.6,1.6,1,0.3,0.6,1.3,4.3
Ish Smith,PG,35,CHO,43,5,17.2,0.418,0.5,0.413,0.75,1.8,3.4,0.4,0.1,1.1,1.1,3.2
Jabari Smith Jr.,PF,20,HOU,76,76,31.9,0.454,0.363,0.53,0.811,8.1,1.6,0.7,0.8,1.2,2.6,13.7
Jalen Smith,C,23,IND,61,14,17.2,0.592,0.424,0.689,0.692,5.5,1,0.3,0.6,0.7,2,9.9
Nick Smith Jr.,SG,19,CHO,51,0,14.3,0.391,0.432,0.35,0.867,1.4,1.2,0.2,0.1,0.8,1.1,5.9
Terquavion Smith,PG,21,PHI,16,0,5.3,0.391,0.371,0.455,0.6,0.3,0.8,0.5,0,0.4,0.5,3.3
Jeremy Sochan,PF,20,SAS,74,73,29.6,0.438,0.308,0.492,0.771,6.4,3.4,0.8,0.5,1.9,2.3,11.6
Pat Spencer,PG,27,GSW,6,0,4.3,0.5,0,1,0,0.7,0.8,0,0,0.2,0.2,0.7
Jaden Springer,SG-PG,21,TOT,49,2,10.3,0.399,0.208,0.49,0.833,1.6,0.9,0.7,0.3,0.7,1.3,3.3
Jaden Springer,SG,21,PHI,32,1,11.8,0.39,0.216,0.469,0.824,1.8,1.1,0.8,0.3,0.8,1.5,4
Jaden Springer,PG,21,BOS,17,1,7.6,0.433,0.182,0.579,0.875,1.2,0.5,0.6,0.2,0.5,1,2.1
Lamar Stevens,PF,26,TOT,38,3,14.7,0.45,0.304,0.485,0.778,3.3,0.7,0.6,0.6,0.6,1.2,7.2
Lamar Stevens,PF,26,BOS,19,1,6.4,0.467,0.375,0.486,0.727,1.6,0.4,0.3,0.3,0.5,0.7,2.8
Lamar Stevens,PF,26,MEM,19,2,23,0.446,0.289,0.484,0.791,5.1,1.1,0.9,0.9,0.8,1.6,11.5
Isaiah Stewart,PF,22,DET,46,45,30.9,0.487,0.383,0.575,0.753,6.6,1.6,0.4,0.8,1.4,2.2,10.9
Julian Strawther,SF,21,DEN,50,0,10.9,0.369,0.297,0.488,0.71,1.2,0.9,0.3,0.1,0.5,1.1,4.5
Max Strus,SF,27,CLE,70,70,32,0.418,0.351,0.546,0.794,4.8,4,0.9,0.4,1.6,2.4,12.2
Jalen Suggs,SG,22,ORL,75,75,27,0.471,0.397,0.556,0.756,3.1,2.7,1.4,0.6,1.8,2.7,12.6
Cole Swider,SF,24,MIA,18,0,4.8,0.395,0.333,0.625,1,0.4,0.3,0.1,0.1,0.4,0.2,2.3
Jae'Sean Tate,SF,28,HOU,65,9,15.9,0.472,0.299,0.559,0.667,3,1,0.6,0.2,0.6,2.1,4.1
Jayson Tatum,PF,25,BOS,74,74,35.7,0.471,0.376,0.542,0.833,8.1,4.9,1,0.6,2.5,2,26.9
Terry Taylor,PF,24,CHI,31,0,6.1,0.513,0.222,0.6,0.8,1.2,0.3,0.2,0.1,0.2,0.5,1.5
Garrett Temple,SG,37,TOR,27,2,10.7,0.372,0.3,0.447,0.818,1.7,1,0.4,0.1,0.5,1,3.3
Dalen Terry,SG,21,CHI,59,2,11.5,0.439,0.23,0.627,0.581,1.9,1.4,0.5,0.3,0.5,1.4,3.1
Daniel Theis,C,31,TOT,60,3,16.9,0.532,0.366,0.586,0.76,4.1,1,0.4,0.9,0.7,2.1,6.3
Daniel Theis,C,31,IND,1,0,8,0.25,0,0.333,0,0,0,0,0,0,1,2
Daniel Theis,C,31,LAC,59,3,17.1,0.536,0.371,0.589,0.76,4.1,1,0.4,0.9,0.7,2.1,6.3
Cam Thomas,SG,22,BRK,66,51,31.4,0.442,0.364,0.481,0.856,3.2,2.9,0.7,0.2,1.9,2.1,22.5
Isaiah Thomas,PG,34,PHO,6,0,3.2,0.3,0.5,0.167,0,0,0.5,0,0,0,0,1.3
Amen Thompson,SF,21,HOU,62,23,22.4,0.536,0.138,0.595,0.684,6.6,2.6,1.3,0.6,1.5,2.3,9.5
Ausar Thompson,SF,21,DET,63,38,25.1,0.483,0.186,0.575,0.597,6.4,1.9,1.1,0.9,1.3,2.8,8.8
Klay Thompson,SF,33,GSW,77,63,29.7,0.432,0.387,0.503,0.927,3.3,2.3,0.6,0.5,1.5,1.6,17.9
Tristan Thompson,C,32,CLE,49,0,11.2,0.608,0,0.613,0.288,3.6,1,0.2,0.3,0.6,1.2,3.3
JT Thor,PF,21,CHO,63,3,12.4,0.437,0.346,0.51,0.55,2.3,0.5,0.2,0.4,0.2,1,3.2
Matisse Thybulle,SF,26,POR,65,19,22.9,0.397,0.346,0.535,0.759,2.1,1.4,1.7,0.8,0.6,1.4,5.4
Xavier Tillman Sr.,C-PF,25,TOT,54,15,18,0.434,0.247,0.51,0.44,3.9,1.4,0.9,0.8,0.6,1.4,5.3
Xavier Tillman Sr.,C,25,MEM,34,13,20.6,0.408,0.226,0.469,0.419,4.6,1.7,1.2,1,0.9,1.8,6
Xavier Tillman Sr.,PF,25,BOS,20,2,13.7,0.515,0.286,0.684,0.571,2.7,1,0.5,0.5,0.3,0.8,4
Jacob Toppin,SF,23,NYK,9,0,4.2,0.556,0.25,0.8,1,0.8,0.3,0,0.1,0.1,0.3,1.4
Obi Toppin,PF,25,IND,82,28,21.1,0.573,0.403,0.706,0.77,3.9,1.6,0.6,0.5,0.8,1.7,10.3
Juan Toscano-Anderson,SF,30,SAC,11,0,4.8,0.25,0.25,0.25,0,1.3,0.4,0.1,0.1,0.2,1,0.6
Karl-Anthony Towns,PF,28,MIN,62,62,32.7,0.504,0.416,0.55,0.873,8.3,3,0.7,0.7,2.9,3.3,21.8
Gary Trent Jr.,SG,25,TOR,71,41,28.1,0.426,0.393,0.464,0.771,2.6,1.7,1.1,0.1,0.7,1.4,13.7
Oscar Tshiebwe,PF,24,IND,8,0,5.3,0.5,0,0.5,0.75,2,0.3,0.3,0.1,0,0.4,3.3
P.J. Tucker,PF,38,TOT,31,10,15.7,0.36,0.371,0.333,1,2.7,0.5,0.5,0.2,0.3,1.7,1.7
P.J. Tucker,PF,38,PHI,3,3,22,0.4,0.4,0,0,4.7,0,1,0.7,0.7,3,2
P.J. Tucker,PF,38,LAC,28,7,15,0.356,0.367,0.333,1,2.5,0.6,0.5,0.2,0.2,1.6,1.6
Myles Turner,C,27,IND,77,77,27,0.524,0.358,0.615,0.773,6.9,1.3,0.5,1.9,1.4,3,17.1
Hunter Tyson,PF,23,DEN,18,0,2.7,0.4,0.286,0.667,0,0.5,0.1,0.1,0,0.1,0.6,1.1
Stanley Umude,SG,24,DET,24,2,12.8,0.44,0.453,0.419,0.906,2.1,0.5,0.3,0.3,0.6,1.7,5.3
Jonas Valanciunas,C,31,NOP,82,82,23.5,0.559,0.308,0.609,0.785,8.8,2.1,0.4,0.8,1.4,2.7,12.2
Jarred Vanderbilt,PF,24,LAL,29,6,20,0.518,0.296,0.586,0.667,4.8,1.2,1.2,0.2,1,1.5,5.2
